ad;year;month;atfm_arrivals;total_delay;atc_delay;atc_other_delay;weather_delay;other_delay;last_entry;last_update
EBBR;2008;1;10326;9681;804;0;8877;0;1-31-2008;9-5-12 18:45
EDDB;2008;1;2203;0;0;0;0;0;;
EDDF;2008;1;19009;124586;3688;0;120898;0;1-31-2008;9-5-12 18:45
EDDH;2008;1;6220;359;359;0;0;0;1-15-2008;9-5-12 18:40
EDDK;2008;1;5183;0;0;0;0;0;;
EDDL;2008;1;8883;1167;0;0;1167;0;1-31-2008;9-5-12 18:45
EDDM;2008;1;16054;11636;0;0;11229;407;1-30-2008;9-5-12 18:45
EDDN;2008;1;2606;0;0;0;0;0;;
EDDP;2008;1;1822;0;0;0;0;0;;
EDDS;2008;1;5494;108;0;0;108;0;1-29-2008;9-5-12 18:45
EDDV;2008;1;2848;0;0;0;0;0;;
EETN;2008;1;1241;0;0;0;0;0;;
EFHK;2008;1;7511;2432;140;1322;970;0;1-30-2008;9-5-12 18:45
EGBB;2008;1;4043;0;0;0;0;0;;
EGCC;2008;1;7613;207;207;0;0;0;1-15-2008;9-5-12 18:40
EGGD;2008;1;2501;146;0;0;146;0;1-11-2008;9-5-12 18:38
EGGW;2008;1;4562;710;0;0;692;18;1-29-2008;9-5-12 18:45
EGKK;2008;1;9991;2677;0;0;1417;1260;1-31-2008;9-5-12 18:45
EGLC;2008;1;3758;23610;9840;0;13770;0;1-31-2008;9-5-12 18:45
EGLL;2008;1;19647;228564;11053;0;141795;75716;1-31-2008;9-5-12 18:45
EGNT;2008;1;2161;0;0;0;0;0;;
EGPD;2008;1;2768;0;0;0;0;0;;
EGPF;2008;1;3492;133;0;133;0;0;1-31-2008;9-5-12 18:45
EGPH;2008;1;4934;75;0;0;0;75;1-28-2008;9-5-12 18:44
EGSS;2008;1;7488;1310;0;0;1310;0;1-28-2008;9-5-12 18:44
EHAM;2008;1;16775;63019;0;59484;3535;0;1-31-2008;9-5-12 18:45
EIDW;2008;1;8406;8706;7645;0;1061;0;1-31-2008;9-5-12 18:45
EKCH;2008;1;10674;71206;989;676;12607;56934;1-31-2008;9-5-12 18:45
ELLX;2008;1;2222;0;0;0;0;0;;
ENBR;2008;1;3700;3217;0;3084;133;0;1-28-2008;9-5-12 18:44
ENGM;2008;1;9279;7967;0;0;7967;0;1-31-2008;9-5-12 18:45
ENVA;2008;1;2135;0;0;0;0;0;;
ENZV;2008;1;2865;0;0;0;0;0;;
EPWA;2008;1;6230;771;524;0;31;216;1-31-2008;9-5-12 18:45
ESGG;2008;1;2598;0;0;0;0;0;;
ESSA;2008;1;8896;3005;2312;0;693;0;1-24-2008;9-5-12 18:43
EVRA;2008;1;1664;0;0;0;0;0;;
EYVI;2008;1;1438;0;0;0;0;0;;
GCLP;2008;1;5010;136;136;0;0;0;1-26-2008;9-5-12 18:44
GCTS;2008;1;2806;0;0;0;0;0;;
GCXO;2008;1;2483;0;0;0;0;0;;
LBSF;2008;1;1877;0;0;0;0;0;;
LCLK;2008;1;1438;0;0;0;0;0;;
LDZA;2008;1;1481;0;0;0;0;0;;
LEAL;2008;1;2671;49;0;0;49;0;1-16-2008;9-5-12 18:40
LEBB;2008;1;2131;0;0;0;0;0;;
LEBL;2008;1;13128;590;0;0;0;590;1-19-2008;9-5-12 18:41
LEIB;2008;1;907;0;0;0;0;0;;
LEMD;2008;1;19848;15492;11597;987;2241;667;1-31-2008;9-5-12 18:45
LEMG;2008;1;4092;0;0;0;0;0;;
LEPA;2008;1;4662;5946;4229;0;1717;0;1-31-2008;9-5-12 18:45
LEVC;2008;1;3450;2271;0;0;2271;0;1-21-2008;9-5-12 18:42
LEZL;2008;1;2343;0;0;0;0;0;;
LFLL;2008;1;5468;2088;328;0;1760;0;1-30-2008;9-5-12 18:45
LFMN;2008;1;4629;1404;0;0;1404;0;1-16-2008;9-5-12 18:40
LFPG;2008;1;22413;15863;7321;0;8032;510;1-31-2008;9-5-12 18:45
LFPO;2008;1;9904;17551;324;8027;9200;0;1-31-2008;9-5-12 18:45
LFSB;2008;1;2465;147;0;147;0;0;1-24-2008;9-5-12 18:43
LGAV;2008;1;7193;0;0;0;0;0;;
LHBP;2008;1;4582;1365;0;0;1365;0;1-15-2008;9-5-12 18:40
LICC;2008;1;2259;0;0;0;0;0;;
LIMC;2008;1;10802;30955;4485;0;26470;0;1-31-2008;9-5-12 18:45
LIME;2008;1;2695;2623;0;0;2623;0;1-31-2008;9-5-12 18:45
LIML;2008;1;5224;4598;0;0;4598;0;1-31-2008;9-5-12 18:45
LIPE;2008;1;2488;78;0;39;39;0;1-26-2008;9-5-12 18:44
LIPZ;2008;1;2887;203;0;0;203;0;1-31-2008;9-5-12 18:45
LIRF;2008;1;13439;54645;8469;0;4124;42052;1-31-2008;9-5-12 18:45
LIRN;2008;1;2430;98;0;0;98;0;1-31-2008;9-5-12 18:45
LJLJ;2008;1;1530;0;0;0;0;0;;
LKPR;2008;1;6501;7135;0;0;7135;0;1-14-2008;9-5-12 18:39
LMML;2008;1;966;0;0;0;0;0;;
LOWW;2008;1;11301;63015;44765;0;18250;0;1-31-2008;9-5-12 18:45
LPPR;2008;1;2235;3553;0;0;3553;0;1-18-2008;9-5-12 18:41
LPPT;2008;1;5758;4010;1227;0;2783;0;1-31-2008;9-5-12 18:45
LROP;2008;1;2756;0;0;0;0;0;;
LSGG;2008;1;7749;21885;12643;741;8501;0;1-31-2008;9-5-12 18:45
LSZH;2008;1;10843;10213;5398;1152;3663;0;1-31-2008;9-5-12 18:45
LZIB;2008;1;1133;0;0;0;0;0;;
EBBR;2008;2;10261;16627;917;442;15268;0;2-29-2008;9-5-12 18:59
EDDB;2008;2;2096;0;0;0;0;0;;
EDDF;2008;2;18944;203152;39682;0;163470;0;2-29-2008;9-5-12 18:59
EDDH;2008;2;6295;1629;425;0;1204;0;2-26-2008;9-5-12 18:57
EDDK;2008;2;5028;0;0;0;0;0;;
EDDL;2008;2;8773;10275;2534;1749;5889;103;2-28-2008;9-5-12 18:58
EDDM;2008;2;16857;18454;1238;0;17216;0;2-29-2008;9-5-12 18:59
EDDN;2008;2;2717;0;0;0;0;0;;
EDDP;2008;2;1805;0;0;0;0;0;;
EDDS;2008;2;5592;121;0;0;121;0;2-14-2008;9-5-12 18:52
EDDV;2008;2;2901;0;0;0;0;0;;
EETN;2008;2;1286;0;0;0;0;0;;
EFHK;2008;2;7660;4032;421;0;3611;0;2-24-2008;9-5-12 18:56
EGBB;2008;2;4036;327;0;0;327;0;2-13-2008;9-5-12 18:51
EGCC;2008;2;7580;13190;8940;0;2621;1629;2-29-2008;9-5-12 18:59
EGGD;2008;2;2476;0;0;0;0;0;;
EGGW;2008;2;4504;1344;230;0;1114;0;2-20-2008;9-5-12 18:54
EGKK;2008;2;9502;7637;37;0;6719;881;2-28-2008;9-5-12 18:58
EGLC;2008;2;3623;32865;15391;0;17175;299;2-29-2008;9-5-12 18:59
EGLL;2008;2;18832;96976;6118;0;90858;0;2-29-2008;9-5-12 18:59
EGNT;2008;2;2030;0;0;0;0;0;;
EGPD;2008;2;2718;55;0;0;55;0;2-13-2008;9-5-12 18:51
EGPF;2008;2;3364;0;0;0;0;0;;
EGPH;2008;2;4749;2186;0;0;2186;0;2-19-2008;9-5-12 18:54
EGSS;2008;2;7219;3657;0;0;3657;0;2-18-2008;9-5-12 18:54
EHAM;2008;2;16101;64249;489;34690;29070;0;2-29-2008;9-5-12 18:59
EIDW;2008;2;8011;27099;21215;0;4669;1215;2-29-2008;9-5-12 18:59
EKCH;2008;2;10541;35957;1890;0;7335;26732;2-29-2008;9-5-12 18:59
ELLX;2008;2;2225;0;0;0;0;0;;
ENBR;2008;2;3570;835;260;123;0;452;2-27-2008;9-5-12 18:58
ENGM;2008;2;9093;5858;0;0;5858;0;2-20-2008;9-5-12 18:54
ENVA;2008;2;2125;0;0;0;0;0;;
ENZV;2008;2;2731;199;199;0;0;0;2-10-2008;9-5-12 18:49
EPWA;2008;2;5963;3063;650;0;2413;0;2-29-2008;9-5-12 18:59
ESGG;2008;2;2633;0;0;0;0;0;;
ESSA;2008;2;9175;1439;0;0;1439;0;2-28-2008;9-5-12 18:58
EVRA;2008;2;1617;0;0;0;0;0;;
EYVI;2008;2;1416;0;0;0;0;0;;
GCLP;2008;2;4808;1933;301;0;1118;514;2-23-2008;9-5-12 18:56
GCTS;2008;2;2756;0;0;0;0;0;;
GCXO;2008;2;2354;0;0;0;0;0;;
LBSF;2008;2;1709;0;0;0;0;0;;
LCLK;2008;2;1450;0;0;0;0;0;;
LDZA;2008;2;1500;0;0;0;0;0;;
LEAL;2008;2;2715;1179;418;0;761;0;2-28-2008;9-5-12 18:58
LEBB;2008;2;2169;82;0;12;70;0;2-15-2008;9-5-12 18:52
LEBL;2008;2;13075;28335;57;0;27439;839;2-28-2008;9-5-12 18:58
LEIB;2008;2;968;0;0;0;0;0;;
LEMD;2008;2;19270;23294;16809;1635;4476;374;2-29-2008;9-5-12 18:59
LEMG;2008;2;3986;605;0;0;605;0;2-6-2008;9-5-12 18:48
LEPA;2008;2;4926;5810;1353;0;4457;0;2-29-2008;9-5-12 18:59
LEVC;2008;2;3332;150;150;0;0;0;2-25-2008;9-5-12 18:57
LEZL;2008;2;2248;0;0;0;0;0;;
LFLL;2008;2;5376;934;0;0;934;0;2-15-2008;9-5-12 18:52
LFMN;2008;2;4457;0;0;0;0;0;;
LFPG;2008;2;21174;24448;13464;0;10984;0;2-29-2008;9-5-12 18:59
LFPO;2008;2;8813;40841;0;34051;6790;0;2-29-2008;9-5-12 18:59
LFSB;2008;2;2466;0;0;0;0;0;;
LGAV;2008;2;6399;9307;0;0;5318;3989;2-18-2008;9-5-12 18:54
LHBP;2008;2;4331;0;0;0;0;0;;
LICC;2008;2;2101;0;0;0;0;0;;
LIMC;2008;2;10070;15013;3890;0;11123;0;2-29-2008;9-5-12 18:59
LIME;2008;2;2489;260;195;0;65;0;2-28-2008;9-5-12 18:58
LIML;2008;2;5238;2156;0;0;2156;0;2-26-2008;9-5-12 18:57
LIPE;2008;2;2339;83;0;0;83;0;2-27-2008;9-5-12 18:58
LIPZ;2008;2;2858;3684;0;0;3684;0;2-25-2008;9-5-12 18:57
LIRF;2008;2;12540;95538;0;0;37485;58053;2-29-2008;9-5-12 18:59
LIRN;2008;2;2322;367;0;0;367;0;2-29-2008;9-5-12 18:59
LJLJ;2008;2;1537;0;0;0;0;0;;
LKPR;2008;2;6076;304;0;0;304;0;2-20-2008;9-5-12 18:54
LMML;2008;2;906;0;0;0;0;0;;
LOWW;2008;2;11068;47248;39620;165;7463;0;2-29-2008;9-5-12 18:59
LPPR;2008;2;2086;0;0;0;0;0;;
LPPT;2008;2;5370;3001;0;0;3001;0;2-22-2008;9-5-12 18:55
LROP;2008;2;2666;0;0;0;0;0;;
LSGG;2008;2;7461;10984;10577;0;0;407;2-29-2008;9-5-12 18:59
LSZH;2008;2;9981;9735;3637;1100;4998;0;2-29-2008;9-5-12 18:59
LZIB;2008;2;1099;0;0;0;0;0;;
EBBR;2008;3;10596;17696;50;2949;14697;0;3-28-2008;9-5-12 19:12
EDDB;2008;3;2311;0;0;0;0;0;;
EDDF;2008;3;20062;147716;7093;0;139264;1359;3-30-2008;9-5-12 19:13
EDDH;2008;3;6531;5350;1601;246;2717;786;3-30-2008;9-5-12 19:13
EDDK;2008;3;5256;0;0;0;0;0;;
EDDL;2008;3;8938;3056;996;0;2060;0;3-31-2008;9-5-12 19:14
EDDM;2008;3;17612;26496;453;0;26017;26;3-25-2008;9-5-12 19:11
EDDN;2008;3;2630;105;0;0;105;0;3-1-2008;9-5-12 18:59
