year,month,days,ifr_flights
2008,1,31,742800
2008,2,29,724038
2008,3,31,776313
2008,4,30,819117
2008,5,31,864626
2008,6,30,892997
2008,7,31,910010
2008,8,31,894450
2008,9,30,878019
2008,10,31,840694
2008,11,30,704407
2008,12,31,666578
2009,1,31,667202
2009,2,28,635114
2009,3,31,732672
2009,4,30,742771
2009,5,31,794329
2009,6,30,817663
2009,7,31,850331
2009,8,31,835235
2009,9,30,819317
2009,10,31,790266
2009,11,30,692820
2009,12,31,655262
2010,1,31,648719
2010,2,28,626284
2010,3,31,740215
2010,4,30,655253
2010,5,31,804472
2010,6,30,839635
2010,7,31,869917
2010,8,31,859495
2010,9,30,841305
2010,10,31,816896
2010,11,30,706122
2010,12,31,644855
2011,1,31,679741
2011,2,28,643712
2011,3,31,750748
2011,4,30,760422
2011,5,31,839087
2011,6,30,844440
2011,7,31,881010
2011,8,31,869814
2011,9,30,860329
2011,10,31,815363
2011,11,30,695921
2011,12,31,660575
2012,1,31,660803
2012,2,29,634783
2012,3,31,728866
2012,4,30,738288
2012,5,31,809783
2012,6,30,836999
2012,7,31,867831
2012,8,31,855392
2012,9,30,830808
2012,10,31,796883
2012,11,30,669353
2012,12,31,620902
2013,1,31,627864
2013,2,28,594073
2013,3,31,684938
2013,4,30,735188
2013,5,31,800624
2013,6,30,828148
2013,7,31,865725
2013,8,31,854328
2013,9,30,833288
2013,10,31,794737
2013,11,30,663499
2013,12,31,628228
2014,1,31,637428
2014,2,28,603369
2014,3,31,697447
2014,4,30,741607
2014,5,31,816655
2014,6,30,850386
2014,7,31,886538
2014,8,31,879252
2014,9,30,847751
2014,10,31,810453
2014,11,30,669982
2014,12,31,640015
